MA_KENH_BAN,MA_SAN_PHAM,GIA,VAT,AP_DUNG_TU,NGUON
DC0001,20LAVOTEN378,106000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LIXI,1.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LUCGIAC250,54000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LUCGIAC300,63000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LUKD310,96000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20LUKD540,150000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20MACCA500,225000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20MYCHINH454,35000.0,10.0,2020-01-17 00:00:00,V2
DC0001,20NILON,1.0,10.0,2019-12-05 00:00:00,V2
DC0001,20PARKUR250,59000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20PARKUR2501,59000.0,10.0,2020-04-06 00:00:00,V2
DC0001,20PARKUR2502,59000.0,10.0,2020-04-06 00:00:00,V2
DC0001,20PEPFARM376,239000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20PEPPER382,119000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20QUAIXACH400,77000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20RAISINS425,125000.0,10.0,2020-01-17 00:00:00,V2
DC0001,20RAISINS425,89000.0,10.0,2020-12-04 00:00:00,V2
DC0001,20SATURN330,41000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20SATURN440,55000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20TIPSON50,36000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20TUIGIAY,1.0,10.0,2019-12-05 00:00:00,V2
DC0001,20TVANG125,23000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20VKGAU500,75000.0,10.0,2019-12-05 00:00:00,V2
DC0001,20VOHOP19,1.0,10.0,2020-12-02 00:00:00,V2
DC0001,20WAKEUP306,40000.0,10.0,2019-12-05 00:00:00,V2
DC0001,21033570,19000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21033694,23000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21102931,27000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21102938,27000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21111654,28000.0,10.0,2017-03-03 00:00:00,V2
DC0001,645,66000.0,,2019-07-31 00:00:00,V1
DC0001,649,60500.0,,2019-07-31 00:00:00,V1
DC0001,653,396000.0,,2019-07-31 00:00:00,V1
DC0001,654,363000.0,,2019-07-31 00:00:00,V1
DC0001,655,295000.0,,2023-09-14 00:00:00,V1
DC0001,657,286000.0,,2019-07-31 00:00:00,V1
DC0001,658,286000.0,,2019-07-31 00:00:00,V1
DC0001,660,660000.0,,2019-07-31 00:00:00,V1
DC0001,661,660000.0,,2019-07-31 00:00:00,V1
DC0001,668,17600.0,,2019-07-31 00:00:00,V1
DC0001,670,17600.0,,2019-07-31 00:00:00,V1
DC0001,671,27500.0,,2019-07-31 00:00:00,V1
DC0001,674,27500.0,,2019-07-31 00:00:00,V1
DC0001,21111656,23000.0,10.0,2017-03-03 00:00:00,V2
DC0001,675,27500.0,,2019-07-31 00:00:00,V1
DC0001,21111659,112000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21113006,20700.0,10.0,2017-03-03 00:00:00,V2
DC0001,21120819,95000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21122476,129000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21122478,154000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21122577,147000.0,10.0,2017-03-03 00:00:00,V2
DC0001,21BALLAN12,1.0,10.0,2021-01-14 00:00:00,V2
DC0001,21BELGI278,42000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21BELGI333,59000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21BELGI350,107000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21BPHAP305,48000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21BPHAP336,59000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21BPHAP358,108000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21CADAHILL,85000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21CHEWY125,23500.0,10.0,2020-12-16 00:00:00,V2
DC0001,676,71500.0,,2019-07-31 00:00:00,V1
DC0001,677,286000.0,,2019-07-31 00:00:00,V1
DC0001,21CHIVAS18,1595000.0,10.0,2021-01-26 00:00:00,V2
DC0001,21COOKI378,108000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21DOLLY300,76000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21DUONGK05,12000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21DUONGK1K,21000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21GIODUA,0.0,10.0,2021-01-07 00:00:00,V2
DC0001,21GIOVUONG,0.0,10.0,2021-01-07 00:00:00,V2
DC0001,21HATDI500,190000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21HDIEU250,102000.0,10.0,2021-02-19 00:00:00,V2
DC0001,21HMACA250,109000.0,10.0,2021-02-19 00:00:00,V2
DC0001,21HOPDACPK,307000.0,10.0,2021-02-19 00:00:00,V2
DC0001,21HOPDUNGB,56000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21KCHEW275,39000.0,10.0,2021-01-15 00:00:00,V2
DC0001,21KCRIS250,35000.0,10.0,2021-01-15 00:00:00,V2
DC0001,21KEOHH250,33000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21KEOMA200,29000.0,10.0,2020-12-16 00:00:00,V2
DC0001,678,44000.0,,2019-07-31 00:00:00,V1
DC0001,679,88000.0,,2019-07-31 00:00:00,V1
DC0001,680,19800.0,,2019-07-31 00:00:00,V1
DC0001,681,88000.0,,2019-07-31 00:00:00,V1
DC0001,685,16500.0,,2019-07-31 00:00:00,V1
DC0001,686,352000.0,,2019-07-31 00:00:00,V1
DC0001,689,286000.0,,2019-07-31 00:00:00,V1
DC0001,691,473000.0,,2019-07-31 00:00:00,V1
DC0001,695,330000.0,,2019-07-31 00:00:00,V1
DC0001,696,245000.0,,2023-09-14 00:00:00,V1
DC0001,697,880000.0,,2019-07-31 00:00:00,V1
DC0001,717069,9500.0,,2019-07-25 00:00:00,V1
DC0001,717069-2,10500.0,,2020-01-17 00:00:00,V1
DC0001,717069-3,10000.0,,2020-09-10 00:00:00,V1
DC0001,717205,28000.0,,2022-08-18 00:00:00,V1
DC0001,733025,18500.0,,2019-07-25 00:00:00,V1
DC0001,773018,21500.0,,2019-07-25 00:00:00,V1
DC0001,773056,9500.0,,2019-07-25 00:00:00,V1
DC0001,773056,13500.0,,2023-03-15 00:00:00,V1
DC0001,838834,45000.0,,2020-09-17 00:00:00,V1
DC0001,893608,79000.0,,2019-07-25 00:00:00,V1
DC0001,BANDROLL,1.0,,2019-08-13 00:00:00,V1
DC0001,BC100,21450.0,,2021-07-20 00:00:00,V1
DC0001,BC250,35200.0,,2021-07-20 00:00:00,V1
DC0001,BC500,62590.0,,2021-07-20 00:00:00,V1
DC0001,BC60,19580.0,,2021-07-20 00:00:00,V1
DC0001,BOTCANH02,3450.0,,2024-03-14 00:00:00,V1
DC0001,BOTCANH03,16200.0,,2024-03-14 00:00:00,V1
DC0001,BTBD104001,15810.0,,2023-07-17 00:00:00,V1
DC0001,BTBD104002,15810.0,,2023-07-17 00:00:00,V1
DC0001,BTBD104003,15810.0,,2023-07-17 00:00:00,V1
DC0001,21KEOTAR85,6000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTBD204001,23630.0,,2023-07-17 00:00:00,V1
DC0001,21KGIFT250,35000.0,10.0,2021-01-15 00:00:00,V2
DC0001,BTBD204002,23630.0,,2023-07-17 00:00:00,V1
DC0001,21KIMANH45,30000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21KMOKA250,35000.0,10.0,2021-01-15 00:00:00,V2
DC0001,21KOVAL200,30000.0,10.0,2021-01-15 00:00:00,V2
DC0001,21MACCA500,200000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MAMHV500,29000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MAMHVI1L,46000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MUTBI200,38000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MUTDU220,45000.0,10.0,2020-12-16 00:00:00,V2
DC0001,21MUTGU150,38000.0,10.0,2020-12-16 00:00:00,V2
DC0001,BTBD204003,23630.0,,2023-07-17 00:00:00,V1
